PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,tipologia,Stato,Ubicazione,Prelievo,Controllo Gen/26,,TIPOLOGIA,FORMA,DIAMETRO,RAGGIO,LUNGHEZZA
,BURZONI,PETTINE F100 080 175C KP60,D8,,FRESA,2,A PETTINE,NUOVO,PETTINI,,TRUE,,,,,,
,BURZONI,PETTINE FM100 M5 KP60,D5,,FRESA,1,A PETTINE,NUOVO,PETTINI ,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO D5 TMDG 41055 KA60,D5,,FRESA,4,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO D8 GT 080 050 L KD60,D8,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO D12,D12,41120 MDI,FRESA,1,METALLO DURO,USATO,FRESA METALLI1,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO LTG 020 030 KW60,D3,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO LGT 020 030 KS60,D3,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO D2 GS020L KD60,D2,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO TMB2100400L250KB60,D4,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO D3 GS030L KD60,D3,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO TMB210 0400L160 KB60,D3.8,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,BURZONI,FRESA SFERICA METALLO DURO 53060VT3-KP60,D6,,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,BURZONI,FRESA SFERICA METALLO DURO D4 GS040L KD60,D4,,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,BURZONI,FRESA SFERICA METALLO DURO SGR 040 L45 KH60,D3.85,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,BURZONI,FRESA SFERICA METALLO DURO SGC 040 200XL 75B KH60,D4,,FRESA,3,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,BURZONI,FRESA DIAMANTATA D8,D8,D8X40L100,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,BURZONI,FRESA DIAMANTATA D6  40°,D6,2985,FRESA,1,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
,BURZONI,FRESA DIAMANTATA SPECIALE D8,D8,D8LTOT.63 G8 L.25mm,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,BURZONI,FRESA DIAMANTATA 7.7,D7.7,RUN077 WE KH68,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 2,,TRUE,,,,,,
,BURZONI,FRESA DIAMANTATA 8,D8,RUN80 WE KH68,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 2,,TRUE,,,,,,
,BURZONI,FRESA DIAMANTATA 9,D9,RUN 097 KH68,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 2,,TRUE,,,,,,
,BURZONI,FRESA DIAMANTATA 10,D10,RUN 100 WE KH68,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 2,,TRUE,,,,,,
,BURZONI,FRESA DIAMANTATA 12,D12,RUN 120 MDI,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 2,,TRUE,,,,,,
,BURZONI,PUNTA D2.1 TD850 D2.1 KP60,D2.1,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D1.5  TD850GF 0210 KR60,D1.5,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
