PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,tipologia,Stato,Ubicazione,Prelievo,Controllo Gen/26,,TIPOLOGIA,FORMA,DIAMETRO,RAGGIO,LUNGHEZZA
,EG, PETTINE M4 PITCH 70,D4,,FRESA,1,A PETTINE,NUOVO,PETTINI,,TRUE,,,,,,
,EMUGE,"MASCHIO M18X1,50  ISO2 6H",M18,1489354,MASCHIO,1,STANDARD,USATO,MASCHI,,TRUE,,,,,,
,EMUGE,MASCHIO M10 6HX REK1A,M10,,MASCHIO,1,STANDARD,USATO,MASCHI,,TRUE,,,,,,
,EMUGE,MASCHIO AMERICANO 5/16  UNF REK A,5/16,,MASCHIO,1,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
BRCL00040000090,FIMU,GUHRING MASCHIO AMERICANO,C-1/2-13 UNC/2BX,21376055,MASCHIO,1,STANDARD,NUOVO,MASCHI A,,TRUE,,,,,,
BRCL01361C,FIMU,GUHRING MASCHIO AMERICANO,C-1/2-13 UNC/2BX,23442133,MASCHIO,1,STANDARD,NUOVO,MASCHI A,,TRUE,,,,,,
BRCL00040000091,FIMU,GUHRING MASCHIO AMERICANO,C-5/16/24 UNF/2BX,20066305,MASCHIO,1,STANDARD,NUOVO,MASCHI A,,TRUE,,,,,,
BRCL01361C,FIMU,GUHRING MASCHIO AMERICANO,C-1/2-13 UNC/2BX,23074439,MASCHIO,1,STANDARD,NUOVO,MASCHI A,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO M4,M4 6HX,23543248,MASCHIO,2,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO M5,M5 6HX,235448943,MASCHIO,3,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
BRCL01416C,FIMU,GUHRING MASCHIO M6,M6 6HX,22804685,MASCHIO,3,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
BRCL00687C,FIMU,GUHRING MASCHIO M8,M8 6HX HSSE,2232117,MASCHIO,4,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
BRCL00234C,FIMU,GUHRING MASCHIO M10,M10 6HX HSSE,23543176,MASCHIO,2,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
BRCL01417C,FIMU,GUHRING MASCHIO M10,"M10 X1,25 6HX HSS",21146789,MASCHIO,1,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO M12,M12 6HX HSSE,21417526,MASCHIO,1,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO M14,"M14X1,30 VHM SIRIUS",22912221,MASCHIO,2,STANDARD,USATO,MASCHI,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO M14,"M14 X1,50 6HX HSSE",23154956,MASCHIO,1,STANDARD,USATO,MASCHI,,TRUE,,,,,,
BRCL00705C,FIMU,GUHRING MASCHIO M12,"M12X1,50 ISO2 HSSE",23152916,MASCHIO,3,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
BRCL000400000088,FIMU,MASCHIO M18,"M18X1,50  ISO6H",2880705,MASCHIO,1,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO EG M4 6H MOD,M4 EG ,1479769,MASCHIO,1,EG,NUOVO,MASCHI EG,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO EG M5 EG M5 6 MOD HSSE,M5 EG,16287835,MASCHIO,2,EG,NUOVO,MASCHI EG,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO EG M8,M8 6H HSSE,302905552,MASCHIO,1,EG,USATO,MASCHI EG,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO EG M10  6H MOD HSSE,M10,302905553,MASCHIO,2,EG,USATO,MASCHI EG,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO AMERICANO 1/4,1/4 28UNF 2BX,23501780,MASCHIO,2,AMERICANO,USATO,MASCHI A,,TRUE,,,,,,
BRCL000400000094,FIMU,GUHRING MASCHIO AMERICANO 7/16,7/16 20 UNF 2BX,15894562,MASCHIO,1,AMERICANO,USATO,MASCHI A,,TRUE,,,,,,
BRCL000400000096,FIMU,GUHRING MASCHIO AMERICANO 8/32,8/32 UNF 2BX,21497690,MASCHIO,1,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
BRCL000400000093,FIMU,GUHRING MASCHIO AMERICANO,10/32 UNF 2BX,20528839,MASCHIO,1,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO AMERICANO 5/16,5/16 24 UNF 2BX,,MASCHIO,1,AMERICANO,USATO,MASCHI A,,TRUE,,,,,,
,FIMU,D'ANDREA INSERTO CCMT,CCMT,,INSERTI,4,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,D'ANDREA INSERTO WCGT,WCGT,,INSERTI,9,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,D'ANDREA INSERTO TPGX,DK100,32T09,INSERTI,9,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
BRCL00248C,FIMU,D'ANDREA INSERTO TPGX,DC100,48D06,INSERTI,1,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,INSERTO XOEX10T308FR,XOEX10T308FR E5,2823843,INSERTI,6,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,INSERTO XOEX10T331FR-E05, XOEX10T331FR-E05,3002244,INSERTI,4,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,INSERTO XOMX10T331TR,XOMX10T331TR,3102796,INSERTI,12,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,INSERTO SNHQ110202EL4 E05,SNHQ110202EL4 E05,2526651,INSERTI,10,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,INSERTO SNHQ110202ER4 E05,SNHQ110202ER4 E05,2526652,INSERTI,2,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
BRCL01062C,FIMU,INSERTO FRESA EDCT140431,EDCT14043,KC410M,INSERTI,18,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,INSERTO FRESA EDCT,EDCT140408PDFRLDJ,KC410M,INSERTI,17,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,INSERO FRESA SFERICA,KDMB20MOERLD,601486489,INSERTI,8,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,INSERTO FRESA SFERICA ,KDMB20MOERLD,601486489,INSERTI,13,FRESA,USATO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,GUHRING PRTTINR D5 WN RFK ,D5,,FRESA,1,A PETTINE,NUOVO,PETTINI,,TRUE,,,,,,
,FIMU,GUHRING FRESA METALLO DURO D20 41200,D20,TMDG,FRESA,1,METALLO DURO,USATO,FRESA METALLI1,,TRUE,,,,,,
,FIMU,GUHRING FRESA METALLO DURO D2.1,D2.1,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,FIMU,SECO FRESA DIAMANTATA D8  R0.2,D8,6035948418,FRESA,0,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
,FIMU,FRESA DIAMANTATA D16 R0.2,D16,02720262,FRESA,2,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
,FIMU,GUHRING ALESATORE D14 H7,D14,22802954,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,FIMU,GUHRING PUNTA D2.05,D2.05,648814P,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,FIMU,GUHRING PUNTA D3.3,D3.3,5768-3300,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,FIMU,GUHRING PUNTA D3.3,D3.3,DIN 6537 LR-RT1,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,FIMU,GUHRING PUNTA D5.0,D5.0,,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,FIMU,GUHRING PUNTA D5.1,D5.1,,PUNTA,1,METALLO DURO,USATO,PUNTE1,,TRUE,,,,,,
,FIMU,GUHRING PUNTA D5.1,D5.1,,PUNTA,3,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,FIMU,GUHRING PUNTA D5.6,D5.6,,PUNTA,1,METALLO DURO,USATO,PUNTE1,,TRUE,,,,,,
,FIMU,GUHRING PUNTA D5.56,D5.56,,PUNTA,1,METALLO DURO,USATO,PUNTE1,,TRUE,,,,,,
,FIMU,GUHRING PUNTA D6.6,D6.6,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
BRCL00729C,HEULE,INSERTO LAMATORE IN TIRO,D8.0,BSF-M-B-1D-8.0,INSERTI,2,FRESA,NUOVO,MARCO,,TRUE,,,,,,
,HOFFMAN,GARANT PUNTA TASTATORE  359505,,,PUNTA,2,TASTATORE,NUOVO,TASTATORI,,TRUE,,,,,,
,HOFFMAN,PUNTA D1.6 HSS,D1.6,,PUNTA,4,METALLO DURO,NUOVO,PUNTE 1.6 PANNELLI,,TRUE,,,,,,
,HOFFMAN,HOLEX PUNTA 1.6,D1.6,,PUNTA,3,METALLO DURO,NUOVO,PUNTE 1.6 PANNELLI,,TRUE,,,,,,
BRCL000400000137,HOFFMAN,GARANT FRESA METALLO DURO D8,D8,202272 8,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,HOFFMAN,GARANT FRESA METALLO DURO D10 R1,D10,4045197 764607,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
BRCL000400000059,HOFFMAN,GARANT FRESA METALLO DURO D10 R05,D10,360/22,FRESA,0,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,HOFFMAN,GARANT FRESA METALLO DURO D12,D12,202272,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,HOFFMAN,GARANT FRESA METALLO DURO D2,D2,94120104,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,HOFFMAN,GARANT FESA METALLO DURO D2.7,D2.7,45197861085,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,HOFFMAN,GARANT FRESA SFERICA METALLO DURO D9.75,D9.75,20978110,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
BRCL01429C,HOFFMAN,GARANT FRESA DIAMANTATA D6X1,D6,2097556,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,HOFFMAN,GARANT FRESA DIAMANTATA D16L2-17,D16,2917533052391482,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,HOFFMAN,GARANT ALESATORE D12,D12,16450012,ALESATORE,1,STANDARD,USATO,ALESATORI,,TRUE,,,,,,
,HOFFMAN,HOLEX ALESATORE D11,D11,32105,ALESATORE,1,STANDARD,USATO,ALESATORI,,TRUE,,,,,,
BRCL00850C,HOFFMAN,HOLEX ALESATORE D6,D6,16015_0,ALESATORE,3,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,HOFFMAN,FRESA RAGGIATA D8 R4,D8,,FRESA ,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MDI Z3,D9.59,,FRESA ,2,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MDI Z4,D 11.65,,FRESA ,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MDI Z3,D9.58,,FRESA,2,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MDI Z4,D7.5,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MD1 Z3 M11.57,D11.57,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MDI Z4 D7.49,D7.49,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA SFERICA D8,D8,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA SFERICA D10,D10,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MDI D9.59,D9.59,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MDI D9.57,D9.57,,FRESA,3,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA RAGGIATA D8,D8,,FRESA,1,NUDA,RIAFFILATA ,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA SFERICA D10,D10,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MDI D9.47,D9.47,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA SFERICA,D6,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA SFERICA ,D12,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MDI D9.59,D9.59,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FRESA MDI D9.56,D9.56,,FRESA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,HOFFMAN,FREESA MDI D9.64,D9.64,,FRESA,1,NUDA,RIAFFILATA ,RIAFFILATE1,,TRUE,,,,,,
BRCL01170C,HOFFMAN,GARANT FRESA DIAMANTATA D8,D8,209548,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,HOFFMAN,PUNTA D4.5 RIAFFILATA,D4.5,1170304200,PUNTA,1,NUDA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
BRCL01436C,HOFFMAN,PUNTA CRESTA DI GALLO D10,D10,,PUNTA,3,CRESTA DI GALLO,NUOVO,PUNTE3,,TRUE,,,,,,
,HTTART,FRESA DIAMANTATA D8/001,D8,2985,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,HTTART,FRESA DIAMANTATA D8HTT, D8,001/A,FRESA,1,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
,HUFSCHMIED,FRESA DIAMANTATA D4,D4,FB194HS040060,FRESA,1,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
,HZ,FRESA DIAMANTATA D6L3R3,D6,394R0O6R,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,HZ,FRESA DIAMANTATA D8X35,D8,,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,HZ,FRESA DIAMANTATA D8X25X63,D8,,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
BRCL000400000023,IGUTENSILI,PETTINE 3.1,3.1 T,,FRESA,5,A PETTINE,NUOVO,PETTINI,,TRUE,,,,,,
,IGUTENSILI,PETTINE D2.35  P0.50 60°,D2.35,,FRESA,2,A PETTINE,NUOVO,PETTINI,,TRUE,,,,,,
,ILIX,ALESATORE D7.94,D7.94,8093,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,,,,,,,,,,,TRUE,,,,,,
,JONGEN,FRESA DIAMANTATA D8 R05,D8,,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,KOMET,ALESATORE D6.7,D6.7,4011006600,ALESATORE,4,STANDARD,USATO,ALESATORI,,TRUE,,,,,,
,KOMET,ALESATORE D2.5,D2.5,40110025,ALESATORE,2,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,N,INSERTO FRESA T183,T183 ,,INSERTI,1,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
 -,OSG,MASCHIO AMERICANO 1/2-20UNF 2BX B ,1/2-20UNF 2BX B ,48145491,MASCHIO,1,STANDARD,USATO,MASCHI A,,TRUE,,,,,,
,OSG,MASCHIO M7,M7 6HX,48139158,MASCHIO,3,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
,OSG,MASCHIO M8,"M8X1,25 6HXC",48139162,MASCHIO,1,STANDARD,USATO,MASCHI,,TRUE,,,,,,
,OSG,MASCHIO M12,M12 X 1.75 6HX,48139179,MASCHIO,1,STANDARD,NUOVO,MASCHI,,TRUE,,,,,,
,OSG,MASCHIO EG M6,M6X1 6HX,48139155,MASCHIO,1,EG,NUOVO,MASCHI EG,,TRUE,,,,,,
,OSG,MASCHIO EG M6,M6 X1 4H B,48006155,MASCHIO,1,EG,NUOVO,MASCHI EG,,TRUE,,,,,,
,OSSOLANA,ALESATORE D18.03,D18.03,720-18.03,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,OSSOLANA,ALESATORE D18  H7,D18,200-1800,ALESATORE ,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,PEPPER,GUIDA ,9--12,,GUIDA,1,STANDARD,USATO,ALESATORI,,TRUE,,,,,,
,RAFF,OSG MASCHIO EG M6,M6X1 6HX,48145155,MASCHIO,1,EG,NUOVO,MASCHI EG,,TRUE,,,,,,
,RAFF,OSG MASCHIO EG M6,"M6X0,75 6HX",48139601,MASCHIO,1,EG,NUOVO,MASCHI EG,,TRUE,,,,,,
,RAFF,OSG MASCHIO AMERICANO 1/2 13UNC 2B,1/2 13UNC 2B,48223489,MASCHIO,2,AMERICANO,USATO,MASCHI A,,TRUE,,,,,,
,RAFF,OSG MASCHIO AMERICANO 1/4,1/4 28UNF 2BX,48139472,MASCHIO,3,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
,RAFF,OSG MASCHIO AMERICANO 10/24,10/24 UNC 2B,74946630,MASCHIO,2,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
,RAFF,OSG MASCHIO AMERICANO 10/32,10/32 UNF 2BX,48139467,MASCHIO,1,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
,RAFF,OSG MASCHIO AMERICANO3/8,3/8 16UNC 2B,74947950,MASCHIO,2,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
BRCL000400000127,RAFF,OSG FRESA METALLO DURO D4,M4 X12 XR0.2,,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,RAFF,FRESA METALLO DURO D11.50 R1,D11.5,FET3120-R1,FRESA,1,METALLO DURO,USATO,FRESA METALLI1,,TRUE,,,,,,
,RAFF,KARNASH PUNTA DIAMANTATA D2.2  L14,D2.2,290120,PUNTA,5,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASH FRESA METALLO DURO D4,D4,291753908,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,RAFF,KARNASH FRESA DIAMANTATA D6,D6,291763901,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
BRCL000400000398,RAFF,KARNASH FRESA DIAMANTATA D6 X50,D6,291.763.000.050,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,RAFF,KARNASH FRESA DIAMANTATA D6 X0.2,D6,291753.0600.30,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,RAFF,KARNASH FRESA DIAMANTATA D8 L2-21,D8,2917633092499990,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,RAFF,KARNASH FRESA DIAMANTATA D12X32,D12,291761,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
BRCL00261C,RAFF,KARNASH FRESA DIAMANTATA D16L2,D16,291761.1600.36,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
BRCL000400000360,RAFF,KARNASH FRESA DIAMANTATA D16L2=15,D16,2917533052391482,FRESA,2,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
,RAFF,KARNASH FRESA DIAMANTATA D16,D16,,FRESA,3,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
,RAFF,KARNASH FRESA DIAMANTATA D16L2=28,D16,,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,RAFF,KARNASH FRESA DIAMANTATA D16L2=3629,D16,17523042390898,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,RAFF,LAMATORE D.17,D17,PSAG17-79L7,LAMATORE,1,STANDARD,NUOVO,POLLEDRI ,,TRUE,,,,,,
,RAFF,FRESA A T D10,T10,FAT 10 SP3 Z4,FRESA,3,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,RAFF,ALESATORE D11 H7,D11,02895,ALESATORE,1,STANDARD,USATO,ALESATORI,,TRUE,,,,,,
,RAFF,ALESATORE D12.7  H7,D12.7,02895,ALESATORE,2,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,RAFF,ALESATORE D10 H7,D10,02895,ALESATORE,2,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,RAFF,ALESATORE D18   DX DX VARIO,D18,02985,ALESATORE,1,STANDARD,USATO,ALESATORI,,TRUE,,,,,,
,RAFF,KARNASH RIAFFILATE VARIE MISURE,D4-8,,FRESA,22,DIAMANTATA,RIAFFILATA,RIAFFILATE1,,TRUE,,,,,,
,RAFF,OSG PUNTA D1.5,D1.5,8577150,PUNTA,5,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,RAFF,PUNTA A LANCIA D5,D5,,PUNTA,1,LANCIA,NUOVO,PUNTE1,,TRUE,,,,,,
,RAFF,OSG PUNTA D5.1,D5.1,8722510,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,RAFF,OSG PUNTA D7,D7,61570,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,RAFF,PUNTA D7,D7,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,REAMER,PUNTA D6  6F HF,D6,14908941,PUNTA,1,METALLO DURO,NUOVO,PUNTE1 ,,TRUE,,,,,,
BRCL00056C,RENISHAW,PUNTA TASTATORE ,,,PUNTA,2,TASTATORE,NUOVO,TASTATORI,,TRUE,,,,,,
BRCL01198C,RENISHAW,PUNTA TASTATORE ,,,PUNTA,2,TASTATORE,NUOVO,TASTATORI,,TRUE,,,,,,
,RENISHAW,PUNTA TASTATORE ,,,PUNTA,4,TASTATORE,NUOVO,TASTATORI,,TRUE,,,,,,
,RENISHAW,SET BRUGOLE MONTAGGIO,,,BRUGOLE,2,STANDARD,NUOVO,TASTATORI,,TRUE,,,,,,
,RENISHAW,RICAMBI TASTATORI,,,RICAMBI,3,TASTATORE,NUOVO,TASTATORI,,TRUE,,,,,,
BRCL000400000129,RIME,FRESA METALLO DURO D5 HM9/04 ,D5,,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
BRCL000400000720,RIME,FRESA METALLO DURO D5 HM99SX/05 ,D5,,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,RIME,FRESA METALLO DURO D20,D20,HM90/20 D20,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,RIME,FESA METALLO DURO D2X15,D2,HM84/20,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
BRCL000400000219,RIME,FRESA DIAMANTATA D1.5X8,D1.5,HM84/15.8,FRESA,3,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,RIME,FRESA DIAMANTATA D1.5X2,D1.5,HM60/02,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,RIME,FRESA DIAMANTATA D3,D3,HTQ1/03,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,RIME,FRESA SFERICA DIAMANTATA D8 R4,D8,HM63/05,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
BRCL000400000098,SANDVIK,INSERTO FRESA 327R09,327R09-18 15002,4626010405,INSERTI,12,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,SC ROUTER,FRESA DIAMANTATA D8X25X80RH,D8,XN.080.025.080XT,FRESA,1,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
BRCL000400000335,TAEGUTEC,INSERTI NFLB,160 L32 B16 TT5515,,INSERTI,6,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,TAM,ALESATORE D5  0500MDI,D5,TAM90,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,TECHNO,PETTINE D20,UNS N 24 LF20 102LT,,FRESA,1,A PETTINE,NUOVO,PETTINI,,TRUE,,,,,,
,TESI,FRESA SPECIALE HONEYCOMB D9,D9,TE0569HM001,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,TNF,FRESA A BOTTE,TNF160 16M ,30673,FRESA,1,A INSERTI,NUOVO,INSERTI FRESA,,TRUE,,,,,,
BRCL000400000603,TSCHORN ,PUNTA TASTATORE 00163CN03,,,PUNTA,1,TASTATORE,NUOVO,TASTATORI,,TRUE,,,,,,
BRCL01201C,TSCHORN ,PUNTA TASTATORE ,,,PUNTA,3,TASTATORE,NUOVO,TASTATORI,,TRUE,,,,,,
BRCL00400000180,TUNIT,SMUSSATORE MANUALE D5.5  90°,D5.5,,SMUSSATORE,2,MANUALE,NUOVO,RIAFFILATE1,,TRUE,,,,,,
,TUNIT,SMUSSATORE MANUALE D7,D7,,SMUSSATORE,2,MANUALE,NUOVO,RIAFFILATE1,,TRUE,,,,,,
BRCL000400000185,TUNIT,SMUSSATORE MANUALE D8.5  90°,D8.5,,SMUSSATORE,2,MANUALE,NUOVO,RIAFFILATE1,,TRUE,,,,,,
BRCL000400000181,TUNIT,SMUSSATORE MANUALE D6.1  90°,D6.1,,SMUSSATORE,2,MANUALE,NUOVO,RIAFFILATE1,,TRUE,,,,,,
BRCL000400000179,TUNIT,SMUSSATORE MANUALE D4.5  90°,D4.5,,SMUSSATORE,2,MANUALE,NUOVO,RIAFFILATE1,,TRUE,,,,,,
BRCL000400000182,TUNIT,SMUSSATORE MANUALE D6.35  82°,D6.35,,SMUSSATORE,2,MANUALE,NUOVO,RIAFFILATE1,,TRUE,,,,,,
BRCL000400000183,TUNIT,SMUSSATORE MANUALE D6.5  82°,D6.5,,SMUSSATORE,2,MANUALE,NUOVO,RIAFFILATE1,,TRUE,,,,,,
,UOP,ALESATORE D8  H7,D8,321050800,ALESATORE,2,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,UOP,ALESATORE D11 X85,D11,32105,ALESATORE,1,STANDARD,USATO,ALESATORI,,TRUE,,,,,,
,UOP,ALESATORE D11 H7,D11,321051100,ALESATORE,1,STANDARD,USATO,ALESATORI,,TRUE,,,,,,
