Descrizione Originale,Tipologia,Forma,Diametro,Diametro Nominale,Raggio,Passo,Tolleranza,Lunghezza,Angolo,Rotazione,Materiale,Rivestimento,Stato,Ubicazione,Codice,Serial Number,Fornitore,Quantità,Lavorazione,Sistema di misura,Alias,Check,Motivo Verifica
UTENSILE DA DISEGNO AIRBUS RAFF02985,,,,,,,,,,Dx,,,NUOVO,PUNTE 1.6 PANNELLI,,,DSN,0,,,UTENSILE DA DISEGNO AIRBUS RAFF02985,RAFF02985 UTENSILE DISEGNO AIRBUS DA,Dati ancora mancanti dopo revisione
RICAMBI TASTATORI,,,,,,,,,,Dx,,,NUOVO,TASTATORI,,,RENISHAW,3,,,RICAMBI TASTATORI,RICAMBI TASTATORI,Dati ancora mancanti dopo revisione
PUNTA PER SVASATORE ALI 113,Svasatore,,,,,,,,,Dx,,,USATO,SMUSSATORI,,,,1,,,PUNTA PER SVASATORE ALI 113,PER ALI PUNTA,Dati ancora mancanti dopo revisione
OSG WONDER BARENO AD0-5D,Alesatore,,,,,,,,,Dx,,,USATO,EXTREMA2,,,RAFF,1,,,OSG WONDER BARENO AD0-5D,5D BARENO WONDER OSG,Dati ancora mancanti dopo revisione
HOLEX PROLUNGA STRUMENTI DI MISURA L10,,,,,,,,,,Dx,,,NUOVO,CASS.DUCATI,BRCL01412C,434920 10,HOFFMAN,10,,,HOLEX PROLUNGA STRUMENTI DI MISURA L10,STRUMENTI PROLUNGA HOLEX DI MISURA,Dati ancora mancanti dopo revisione
HOLEX PROLUNGA STRUMENTI DI MISURA L20,,,,,,,,,,Dx,,,NUOVO,CASS.DUCATI,BRCL01413C,434920 20,HOFFMAN,10,,,HOLEX PROLUNGA STRUMENTI DI MISURA L20,STRUMENTI PROLUNGA HOLEX DI MISURA,Dati ancora mancanti dopo revisione
MICRO FRESA ROTATIVA MASTER UAI,Fresa,Candela,,,,,,,,Dx,,,NUOVO,FRESA METALLI1,BRCL01518C,546906 D0695,HOFFMAN,2,Fresatura,,MICRO FRESA ROTATIVA MASTER UAI,MICRO UAI ROTATIVA MASTER,Dati ancora mancanti dopo revisione
"LANG QUICK•POINT® 96, PERNI DI SERRAGGIO",,,,,,,,,,Dx,,,NUOVO,MOBILE LANG,BRCL01622C,BP0000186,METECH,19,,,"LANG QUICK•POINT® 96, PERNI DI SERRAGGIO",QUICK PERNI POINT LANG DI SERRAGGIO,Dati ancora mancanti dopo revisione
SVASATORE A INSERTI TRIANGOLARI 90°,Svasatore,,,,,,,,90°,Dx,,,USATO,SVASATORI,,,,1,,,SVASATORE A INSERTI TRIANGOLARI 90°,A INSERTI TRIANGOLARI,Dati ancora mancanti dopo revisione
