,,,,,,,,,
PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,Stato,Ubicazione,Prelievo
BRCL000400000059,HOFFMAN,GARANT FRESA METALLO DURO D10 R05,D10,360/22,FRESA,0,NUOVO,FRESA METALLI1,
,HOFFMAN,GARANT FRESA METALLO DURO D12,D12,202272,FRESA,1,NUOVO,FRESA METALLI1,
,HOFFMAN,GARANT FRESA METALLO DURO D2,D2,94120104,FRESA,1,NUOVO,FRESA METALLI1,
,HOFFMAN,GARANT FESA METALLO DURO D2.7,D2.7,45197861085,FRESA,1,NUOVO,FRESA METALLI1,
,HOFFMAN,GARANT FRESA SFERICA METALLO DURO D9.75,D9.75,20978110,FRESA,1,NUOVO,FRESA METALLI2,
BRCL01429C,HOFFMAN,GARANT FRESA DIAMANTATA D6X1,D6,2097556,FRESA,1,NUOVO,DIAMANTATE 1,
,HOFFMAN,GARANT FRESA DIAMANTATA D16L2-17,D16,2917533052391482,FRESA,1,NUOVO,DIAMANTATE 1,
,HOFFMAN,UOP ALESATORE D11,D11,32105 11 85,ALESATORE,0,USATO,ALESATORI,
,HOFFMAN,HOLEX ALESATORE D11,D11,32105,ALESATORE,1,USATO,ALESATORI,
BRCL00850C,HOFFMAN,HOLEX ALESATORE D6,D6,16015_0,ALESATORE,3,NUOVO,ALESATORI,
,HOFFMAN,FRESA RAGGIATA D8 R4,D8,,FRESA ,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MDI Z3,D9.59,,FRESA ,2,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MDI Z4,D 11.65,,FRESA ,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MDI Z3,D9.58,,FRESA,2,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MDI Z4,D7.5,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MD1 Z3 M11.57,D11.57,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MDI Z4 D7.49,D7.49,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA SFERICA D8,D8,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA SFERICA D10,D10,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MDI D9.59,D9.59,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MDI D9.57,D9.57,,FRESA,3,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA RAGGIATA D8,D8,,FRESA,1,RIAFFILATA ,RIAFFILATE1,
,HOFFMAN,FRESA SFERICA D10,D10,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MDI D9.47,D9.47,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA SFERICA,D6,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA SFERICA ,D12,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MDI D9.59,D9.59,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FRESA MDI D9.56,D9.56,,FRESA,1,RIAFFILATA,RIAFFILATE1,
,HOFFMAN,FREESA MDI D9.64,D9.64,,FRESA,1,RIAFFILATA ,RIAFFILATE1,
BRCL01170C,HOFFMAN,GARANT FRESA DIAMANTATA SGROSSATURA D8M,D8,209548 8M,FRESA,0,NUOVO,DIAMANTATE 1,
,HOFFMAN,PUNTA D4.5 RIAFFILATA,D4.5,1170304200,PUNTA,1,RIAFFILATA,RIAFFILATE1,
BRCL01436C,HOFFMAN,PUNTA CRESTA DI GALLO D10,D10,,PUNTA,3,NUOVO,PUNTE3,
,HTTART,FRESA DIAMANTATA D8/001,D8,2985,FRESA,1,NUOVO,DIAMANTATE 1,
,HTTART,FRESA DIAMANTATA D8HTT, D8,001/A,FRESA,1,USATO,DIAMANTATE 1,
,HUFSCHMIED,FRESA DIAMANTATA D4,D4,FB194HS040060,FRESA,1,USATO,DIAMANTATE 1,
,HZ,FRESA DIAMANTATA D6L3R3,D6,394R0O6R,FRESA,0,NUOVO,DIAMANTATE 1,
,HZ,FRESA DIAMANTATA D8X35,D8,,FRESA,2,NUOVO,DIAMANTATE 1,
,HZ,FRESA DIAMANTATA D8X25X63,D8,,FRESA,1,NUOVO,DIAMANTATE 1,
BRCL000400000023,IG UTENSILI,PETTINE 3.1,3.1 T,,FRESA,5,NUOVO,PETTINI,
,IG UTENSILI,PETTINE D2.35  P0.50 60°,D2.35,,FRESA,2,NUOVO,PETTINI,
,ILIX,ALESATORE D7.94,D7.94,8093,ALESATORE,1,NUOVO,ALESATORI,
,JONGEN,FRESA DIAMANTATA D8 R05,D8,,FRESA,1,NUOVO,DIAMANTATE 1,
,KOMET,ALESATORE D6.7,D6.7,4011006600,ALESATORE,4,USATO,ALESATORI,
,KOMET,ALESATORE D2.5,D2.5,40110025,ALESATORE,2,NUOVO,ALESATORI,
 -,OSG,MASCHIO AMERICANO 1/2-20UNF 2BX B ,1/2-20UNF 2BX B ,48145491,MASCHIO,0,USATO,MASCHI A,
,OSG,MASCHIO M7,M7 6HX,48139158,MASCHIO,3,NUOVO,MASCHI,
,OSG,MASCHIO M8,"M8X1,25 6HXC",48139162,MASCHIO,1,USATO,MASCHI,
,OSG,MASCHIO M12,M12 X 1.75 6HX,48139179,MASCHIO,1,NUOVO,MASCHI,
,OSG,MASCHIO EG M6,M6X1 6HX,48139155,MASCHIO,0,NUOVO,MASCHI EG,
,OSG,MASCHIO EG M6,M6 X1 4H B,48006155,MASCHIO,1,NUOVO,MASCHI EG,
,OSSOLANA,ALESATORE D18.03,D18.03,720-18.03,ALESATORE,1,NUOVO,ALESATORI,
,OSSOLANA,ALESATORE D18  H7,D18,200-1800,ALESATORE ,1,NUOVO,ALESATORI,
,PEPPER,GUIDA ,9--12,,GUIDA,1,USATO,ALESATORI,
,RAFF,OSG MASCHIO EG M6,M6X1 6HX,48145155,MASCHIO,1,NUOVO,MASCHI EG,
,RAFF,OSG MASCHIO EG M6,"M6X0,75 6HX",48139601,MASCHIO,1,NUOVO,MASCHI EG,
,RAFF,OSG MASCHIO AMERICANO 1/2 13UNC 2B,1/2 13UNC 2B,48223489,MASCHIO,2,USATO,MASCHI A,
,RAFF,OSG MASCHIO AMERICANO 1/4,1/4 28UNF 2BX,48139472,MASCHIO,3,NUOVO,MASCHI A,
,RAFF,OSG MASCHIO AMERICANO 10/24,10/24 UNC 2B,74946630,MASCHIO,2,NUOVO,MASCHI A,
,RAFF,OSG MASCHIO AMERICANO 10/32,10/32 UNF 2BX,48139467,MASCHIO,1,NUOVO,MASCHI A,
,RAFF,OSG MASCHIO AMERICANO3/8,3/8 16UNC 2B,74947950,MASCHIO,1,NUOVO,MASCHI A,
BRCL000400000127,RAFF,OSG FRESA METALLO DURO D4,M4 X12 XR0.2,,FRESA,2,NUOVO,FRESA METALLI1,
,RAFF,FRESA METALLO DURO D11.50 R1,D11.5,FET3120-R1,FRESA,1,USATO,FRESA METALLI1,
,RAFF,KARNASH PUNTA DIAMANTATA D2.2  L14,D2.2,290120,PUNTA,1,NUOVO,CASS.SPARKWING,
,RAFF,KARNASH FRESA METALLO DURO D4,D4,291753908,FRESA,1,NUOVO,FRESA METALLI1,
,RAFF,KARNASH FRESA DIAMANTATA D6,D6,291763901,FRESA,0,NUOVO,DIAMANTATE 1,
BRCL000400000398,RAFF,KARNASH FRESA DIAMANTATA D6 X50,D6,291.763.000.050,FRESA,2,NUOVO,DIAMANTATE 1,
,RAFF,KARNASH FRESA DIAMANTATA D6 X0.2,D6,291753.0600.30,FRESA,1,NUOVO,DIAMANTATE 1,
,RAFF,KARNASH FRESA DIAMANTATA D8 L2-21,D8,2917633092499990,FRESA,1,NUOVO,DIAMANTATE 1,
,RAFF,KARNASH FRESA DIAMANTATA D12X32,D12,291761,FRESA,1,NUOVO,DIAMANTATE 1,
BRCL00261C,RAFF,KARNASH FRESA DIAMANTATA D16L2,D16,291761.1600.36,FRESA,1,NUOVO,DIAMANTATE 1,
BRCL000400000360,RAFF,KARNASH FRESA DIAMANTATA D16L2=15,D16,2917533052391482,FRESA,1,USATO,DIAMANTATE 1,
,RAFF,KARNASH FRESA DIAMANTATA D16,D16,,FRESA,3,USATO,DIAMANTATE 1,
,RAFF,KARNASH FRESA DIAMANTATA D16L2=28,D16,,FRESA,1,NUOVO,DIAMANTATE 1,
,RAFF,KARNASH FRESA DIAMANTATA D16L2=3629,D16,17523042390898,FRESA,2,NUOVO,DIAMANTATE 1,
,RAFF,LAMATORE D.17,D17,PSAG17-79L7,LAMATORE,1,NUOVO,POLLEDRI ,
,RAFF,FRESA A T D10,T10,FAT 10 SP3 Z4,FRESA,2,NUOVO,FRESA METALLI2,
,RAFF,ALESATORE D11 H7,D11,02895,ALESATORE,1,USATO,ALESATORI,
,RAFF,ALESATORE D12.7  H7,D12.7,02895,ALESATORE,2,NUOVO,ALESATORI,
,RAFF,ALESATORE D10 H7,D10,02895,ALESATORE,2,NUOVO,ALESATORI,
,RAFF,ALESATORE D18   DX DX VARIO,D18,02985,ALESATORE,1,USATO,ALESATORI,
,RAFF,KARNASH RIAFFILATE VARIE MISURE,D4-8,,FRESA,22,RIAFFILATA,RIAFFILATE1,
,RAFF,OSG PUNTA D1.5,D1.5,8577150,PUNTA,5,NUOVO,PUNTE1,
,RAFF,PUNTA A LANCIA D5,D5,,PUNTA,1,NUOVO,PUNTE1,
,RAFF,OSG PUNTA D5.1,D5.1,8722510,PUNTA,2,NUOVO,PUNTE1,
,RAFF,OSG PUNTA D7,D7,61570,PUNTA,2,NUOVO,PUNTE1,
,RAFF,PUNTA D7,D7,,PUNTA,1,NUOVO,PUNTE1,
,REAMER,PUNTA D6  6F HF,D6,14908941,PUNTA,1,NUOVO,PUNTE1 ,
BRCL00056C,RENISHAW,PUNTA TASTATORE ,,,PUNTA,2,NUOVO,TASTATORI,
BRCL01198C,RENISHAW,PUNTA TASTATORE ,,,PUNTA,2,NUOVO,TASTATORI,
,RENISHAW,PUNTA TASTATORE ,,,PUNTA,3,NUOVO,TASTATORI,
,RENISHAW,SET BRUGOLE MONTAGGIO,,,BRUGOLE,2,NUOVO,TASTATORI,
,RENISHAW,RICAMBI TASTATORI,,,RICAMBI,3,NUOVO,TASTATORI,
BRCL000400000129,RIME,FRESA METALLO DURO D5 HM9/04 ,D5,,FRESA,2,NUOVO,FRESA METALLI1,
BRCL000400000720,RIME,FRESA METALLO DURO D5 HM99SX/05 ,D5,,FRESA,2,NUOVO,FRESA METALLI1,
,RIME,FRESA METALLO DURO D20,D20,HM90/20 D20,FRESA,1,NUOVO,FRESA METALLI1,
,RIME,FESA METALLO DURO D2X15,D2,HM84/20,FRESA,0,NUOVO,FRESA METALLI1,
BRCL000400000219,RIME,FRESA DIAMANTATA D1.5X8,D1.5,HM84/15.8,FRESA,2,NUOVO,DIAMANTATE 1,
,RIME,FRESA DIAMANTATA D1.5X2,D1.5,HM60/02,FRESA,2,NUOVO,DIAMANTATE 1,
,RIME,FRESA DIAMANTATA D3,D3,HTQ1/03,FRESA,1,NUOVO,DIAMANTATE 1,
,RIME,FRESA SFERICA DIAMANTATA D8 R4,D8,HM63/05,FRESA,1,NUOVO,DIAMANTATE 1,
BRCL000400000098,SANDVIK,INSERTO FRESA 327R09,327R09-18 15002,4626010405,INSERTI,12,NUOVO,INSERTI FRESA,
,SC ROUTER,FRESA DIAMANTATA D8X25X80RH,D8,XN.080.025.080XT,FRESA,1,USATO,DIAMANTATE 1,
BRCL000400000335,TAEGUTEC,INSERTI NFLB,160 L32 B16 TT5515,,INSERTI,6,NUOVO,INSERTI FRESA,
,TAM,ALESATORE D5  0500MDI,D5,TAM90,ALESATORE,1,NUOVO,ALESATORI,
,TECHNO,PETTINE D20,UNS N 24 LF20 102LT,,FRESA,1,NUOVO,PETTINI,
,TESI,FRESA SPECIALE HONEYCOMB D9,D9,TE0569HM001,FRESA,2,NUOVO,DIAMANTATE 1,
,TNF,FRESA A BOTTE,TNF160 16M ,30673,FRESA,1,NUOVO,INSERTI FRESA,
BRCL000400000603,TSCHORN ,PUNTA TASTATORE 00163CN03,,,PUNTA,1,NUOVO,TASTATORI,
BRCL01201C,TSCHORN ,PUNTA TASTATORE ,,,PUNTA,3,NUOVO,TASTATORI,
BRCL00400000180,TUNIT,SMUSSATORE MANUALE D5.5  90°,D5.5,,SMUSSATORE,2,NUOVO,RIAFFILATE1,
,TUNIT,SMUSSATORE MANUALE D7,D7,,SMUSSATORE,2,NUOVO,RIAFFILATE1,
BRCL000400000185,TUNIT,SMUSSATORE MANUALE D8.5  90°,D8.5,,SMUSSATORE,2,NUOVO,RIAFFILATE1,
BRCL000400000181,TUNIT,SMUSSATORE MANUALE D6.1  90°,D6.1,,SMUSSATORE,2,NUOVO,RIAFFILATE1,
BRCL000400000179,TUNIT,SMUSSATORE MANUALE D4.5  90°,D4.5,,SMUSSATORE,2,NUOVO,RIAFFILATE1,
BRCL000400000182,TUNIT,SMUSSATORE MANUALE D6.35  82°,D6.35,,SMUSSATORE,2,NUOVO,RIAFFILATE1,
BRCL000400000183,TUNIT,SMUSSATORE MANUALE D6.5  82°,D6.5,,SMUSSATORE,2,NUOVO,RIAFFILATE1,
,UOP,ALESATORE D8  H7,D8,321050800,ALESATORE,2,NUOVO,ALESATORI,
,UOP,ALESATORE D11 X85,D11,32105,ALESATORE,1,USATO,ALESATORI,
,UOP,ALESATORE D11 H7,D11,321051100,ALESATORE,1,USATO,ALESATORI,
,UOP,ALESATORE D6  H7,D6,6225281,ALESATORE,1,NUOVO,ALESATORI,
,WSG,MASCHIO M12,M12X1 HSS,6233,MASCHIO,1,USATO,MASCHI,
BRCL000400000473,WST,FRESA METALLO DURO D8,D8,F11330800,FRESA,1,NUOVO,FRESA METALLI1,
,YAMAHA,MASCHIO M16,M16 ISO2 VA,9245,MASCHIO,1,USATO,MASCHI,
BRCL00400000140,YG1,ALESATORE D16X52X170,D16,16177344,ALESATORE,2,NUOVO,ALESATORI,
,YG1,ALESATORE D3 H7,D3,K211100300,ALESATORE,1,NUOVO,ALESATORI,
,YG1,PUNTA D2X4X21X57,D2,,PUNTA,1,NUOVO,PUNTE1,
,YG1,PUNTA D2.7,D2.7,D5405027,PUNTA,1,NUOVO,PUNTE1,
,ZORLINE,FRESA METALLO DURO D8,8X20X60,,FRESA,1,NUOVO,FRESA METALLI1,
BRCL011840,,PUNTA 1.6 HSS,D1.6,,PUNTA,3,NUOVO,PUNTE 1.6 PANNELLI,
,,FRESA DIAMANTATA D10X20X70,D10,,FRESA,1,USATO,DIAMANTATE 1,
,,FRESA DIAMANTATA D10,D10,108M.100103072,FRESA,1,NUOVO,DIAMANTATE 1,
,,FRESA SFERICA DIAMANTATA D6 R45,D6,366065D427,FRESA,1,USATO,DIAMANTATE 1,
BRCL01044C,JONGEN,FRESA LUNGA D12,D12,VHM 19210 KD14 D12,FRESA,1,USATO,RIAFFILATE1,
,BURZONI,PUNTA TD850 D7.8 KP60,D7.8,,PUNTA,2,NUOVO,PUNTE2,
BRCL000400000408,CERATIZIT,WNT PUNTA D7.6,D7.6,10734076,PUNTA,1,USATO,PUNTE2,
,RAFF,FRESA RIAFFILATA D18,D18,02985,FRESA,1,USATO,RIAFFILATE1,
,CERATIZIT,WNT PUNTA D8.5,D8.5,1170208500,PUNTA,2,USATO,PUNTE2,
,RAFF,OSG PUNTA D8.6,D8.6,,PUNTA,1,USATO,PUNTE2,
,RAFF,PUNTA YG D8.7,D8.7,DH452087,PUNTA,1,USATO,PUNTE2,
,RAFF,OSG PUNTA D 8.6,D8.6,,PUNTA,1,USATO,PUNTE2,
,TRED,PUNTA D8.5,D8.5,9150 8.5 K/P T-RED,PUNTA,1,USATO,PUNTE2,
,BURZONI,PUNTA TD850GP 0880 MDI,D8.8,,PUNTA,0,USATO,PUNTE2,
,BURZONI,PUNTA D8.5 TD850GP 0850 MDI,D8.5,,PUNTA,1,NUOVO,PUNTE2,
,BURZONI,PUNTA D9 TD850GP 0900 KR60,D9,,PUNTA,1,NUOVO,PUNTE2,
,BURZONI,PUNTA D9.6 TD850GP 0960 KR60,D9.6,,PUNTA,5,NUOVO,PUNTE2,
,CERATIZIT,WNT PUNTA  D9.8,D9.8,11 703 09800,PUNTA,2,NUOVO,PUNTE2,
,BURZONI,PUNTA D9.8 TD850GP 0980 KR60,D9.8,,PUNTA,4,NUOVO,PUNTE2,
,BURZONI,PUNTA D9.1 TD850GP 0910 KR60,D9.1,,PUNTA,8,NUOVO,PUNTE2,
,BURZONI,PUNTA D9.2 TD850 D9.2 KP60,D9.2,,PUNTA,2,NUOVO,PUNTE2,
,CERATIZIT,PUNTA D9.5,D9.5,11 702 09000,PUNTA,1,NUOVO,PUNTE2,
,FIMU,KENNAMETAL PUNTA D9.8,D9.8,B966A09800,PUNTA,1,NUOVO,PUNTE2,
,CERATIZIT,PUNTA D10  5XD,D10,11 702 10000,PUNTA,2,NUOVO,PUNTE2,
,CERATIZIT,PUNTA D9.8  8XD,D9.8,11 704  09800,PUNTA,1,NUOVO,PUNTE2,
,BURZONI,PUNTA D10.1 TD850GP 1100 MDI,D10.1, ,PUNTA,1,NUOVO,PUNTE2,
,BURZONI,PUNTA D10.2 TD850GP 1020 MDI,D10.2,,PUNTA,3,USATO,PUNTE2,
,CERATIZIT,WNT PUNTA D10,D10,K10 R100 D10,PUNTA,1,USATO,PUNTE2,
,CERATIZIT,WNT PUNTA D10,D10,1170310000,PUNTA,1,USATO,PUNTE2,
BRCL00467C,CERATIZIT,PUNTA D10.2,D10.2,11 702 10200,PUNTA,3,NUOVO,PUNTE2,
,BURZONI,PUNTA TD850GP 1080 KR60,D10.8,,PUNTA,2,USATO,PUNTE2,
,BURZONI,PUNTA TD850GP 1050 MDI,D10.5,,PUNTA,2,USATO,PUNTE2,
,BURZONI,PUNTA TD850GP 1100 MDI,D11,,PUNTA,1,USATO,PUNTE2,
,OSSOLANA,PUNTA D10.7  H7,D10.7,,PUNTA,1,NUOVO,PUNTE2,
,CERATIZIT,PUNTA D10.5 5DX,D10.5,,PUNTA,1,NUOVO,PUNTE2,
,CERATIZIT,WNT PUNTA D11.8,D11.8,,PUNTA,1,USATO,PUNTE2,
,BURZONI,PUNTA TD850GP 1100 KR60,D11,,PUNTA,2,NUOVO,PUNTE2,
,BURZONI,PUNTA TD850GP 1170 KR60,D11.7,,PUNTA,2,NUOVO,PUNTE2,
,BURZONI,PUNTA TD850GP 1100 MDI,D11,,PUNTA,3,USATO,PUNTE2,
,BURZONI,PUNTA D11.5,D11.5,,PUNTA,1,USATO,PUNTE2,
,RAFF,OSG PUNTA D8.6,D8.6,,PUNTA,1,USATO,PUNTE2,
,RAFF,OSG PUNTA D12,D12,43011220,PUNTA,2,NUOVO,PUNTE2,
,BURZONI,PUNTA TD850GP 1250 KR60,D12.5,,PUNTA,2,NUOVO,PUNTE2,
,BURZONI,PUNTA TD850GP 1200 KR60,D12,,PUNTA,3,USATO,PUNTE2,
BRCL0004000003656,CERATIZIT,PUNTA 11 702 12000,D12,,PUNTA,1,NUOVO,PUNTE2,
,CERATIZIT,WNT PUNTA 10 105 123,D12.3,,PUNTA,1,NUOVO,PUNTE2,
,CERATIZIT,WNT PUNTA 11 703 12000,D12.5,,PUNTA,3,NUOVO,PUNTE2,
,BURZONI,PUNTA TD850GP 1050 MDI,D10.5,,PUNTA,3,USATO,PUNTE2,
,CERATIZIT,WNT PUNTA D13,D13,10 107 130,PUNTA,1,NUOVO,PUNTE2,
,CERATIZIT,PUNTA D13,D13,10 787 1300,PUNTA,1,NUOVO,PUNTE2,
,YG1,PUNTA D15,D15,,PUNTA,1,USATO,PUNTE2,
,RAFF,KARNASCH PUNTA D2.3 L14 CARBONIO,D2.3,,PUNTA,1,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D2 X11 CARBONIO,D2,,PUNTA,2,NUOVO,PUNTE3,
,JONGEN,PUNTA D2 CARBONIO,D2,VHB 3395 MK10,PUNTA,2,NUOVO,CASS.SPARKWING,
,RAFF,KARNASCH PUNTA D2.5 X14,D2.5,,PUNTA,2,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D3.5,D3.5 ,,PUNTA,1,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D3 X12,D3,,PUNTA,15,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D3.1,D3.1,,PUNTA,1,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D3.2 X14,D3.2,,PUNTA,3,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D4.4,D4.4,,PUNTA,1,USATO,PUNTE3,
,RAFF,KARNASCH PUNTA D4.3 L29,D4.3,,PUNTA,3,NUOVO,PUNTE3,
,CERIN,CERIN PUNTA D4,D4,,PUNTA,1,USATO,PUNTE3,
,RAFF,KARNASCH PUNTA D4.5 L18,D4.5,,PUNTA,3,USATO,PUNTE3,
,RAFF,KARNASCH PUNTA D5.1 L35,D5.1,,PUNTA,6,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D5.8 X20,D5.8,,PUNTA,2,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D5.5,D5.5,,PUNTA,2,USATO,PUNTE3,
,RAFF,KARNASCH PUNTA D5.8 L35,D5.8,,PUNTA,2,NUOVO,PUNTE3,
,HOFFMAN,SPPW PUNTA D5.1 L28,D5.1,,PUNTA,3,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D5.5,D5.5,,PUNTA,1,USATO,PUNTE3,
,RAFF,KARNASCH PUNTA D5.6 L43,D5.6,,PUNTA,2,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D6 X65,D6,,PUNTA,1,USATO,PUNTE3,
,RAFF,KARNASCH PUNTA D6 ,D6 ,,PUNTA,1,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D6 X20,D6,,PUNTA,3,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D6.1  X43,D6.1,,PUNTA,1,USATO,PUNTE3,
BRCL00365C,RAFF,KARNASCH PUNTA D7.1  X43,D7.1,,PUNTA,2,NUOVO,PUNTE3,
,RAFF,KARNASCH D7.2,D7.2,,PUNTA,1,NUOVO,PUNTE3,
,SPPW,PUNTA D8.5 X80 CARBONIO,D8.5,,PUNTA,2,NUOVO,CASS.SPARKWING,
,,PUNTA KEVLAR D8.5,D8.5,,PUNTA,2,USATO,PUNTE3,
,,PUNTA CARBONIO D8.5,D8.5,,PUNTA,1,USATO,PUNTE3,
,RAFF,KARNASCH PUNTA D8  L3=2,D8,,PUNTA,1,NUOVO,PUNTE3,
,YG1,PUNTA CARBONIO D8,D8,,PUNTA,3,NUOVO,PUNTE3,
,FIMU,KENNAMETAL PUNTA D8.6,D8.6,,PUNTA,1,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D7.1,D7.1 ,,PUNTA,1,USATO,PUNTE3,
,RAFF,KARNASCH PUNTA D8,D8,,PUNTA,1,USATO,PUNTE3,
,CERIN,CERIN PUNTA D9 CARBONIO,D9,,PUNTA,1,USATO,PUNTE3,
BRCL01048C,RAFF,KARNASCH PUNTA D8.8  L103,D8.8,,PUNTA,1,NUOVO,PUNTE3,
,BURZONI,PUNTA VETRO D8,D8,,PUNTA,5,NUOVO,PUNTE3,
,RAFF,KARNASCH PUNTA D12X0.56,D12,,PUNTA,2,NUOVO,PUNTE3,
,,PUNTA CARBONIO D12.4,D12.4,,PUNTA,1,USATO,PUNTE3,
,,PUNTA PER SVASATORE ALI 113,,,SVASATORE,1,USATO ,SMUSSATORI,
,,SMUSSATORE D11 100°,D11,,SVASATORE,1,USATO,SMUSSATORI,
,CERATIZIT,WNT SMUSSATORE D12 36°,D12,,SVASATORE,1,USATO,SMUSSATORI,
,RAFF,FRCO SMUSSATORE D20 100°,D20,,SVASATORE,1,USATO,SMUSSATORI,
BRCL01163C,RAFF,SMUSSATORE D10 90°,D10,RAFF-SDT90-D.10,SVASATORE,1,NUOVO,CASS.DUCATI,
,RAFF,SMUSSATORE D8,D8,,SVASATORE,2,NUOVO,SMUSSATORI,
,BURZONI ,SMUSSATORE D30,D30,,SVASATORE,5,USATO,SMUSSATORI,
,BURZONI,SMUSSATORE D6.3,T S90 0630 KP60,,SVASATORE,2,NUOVO,SMUSSATORI,
,BURZONI,SMUSSATORE D16.5,D16.5,,SVASATORE,1,USATO,SMUSSATORI,
,,SMUSSATORE D12 50°,D12,,SVASATORE,1,USATO,SMUSSATORI,
,POLLEDRI,POLLEDRO D11,D11,10.11.110,POLLEDRO,2,NUOVO,POLLEDRI,
,POLLEDRI,POLLEDRO D13,D13,10.11.130,POLLEDRO,1,NUOVO,POLLEDRI,
,POLLEDRI,GUIDA O/F D6.5,D6.5,10.16.065,POLLEDRO,1,NUOVO,POLLEDRI,
,,LAMATORE ALI DALLARA,,PSAG-10-7.9-L7,LAMATORE,1,USATO,POLLEDRI,
,POLLEDRI,POLLEDRO D8,D8,11.16.080,POLLEDRO,2,NUOVO,POLLEDRI,
,POLLEDRI,POLLEDRO D6,D6,11.16.060,POLLEDRO,1,NUOVO,POLLEDRI,
,POLLEDRI,POLLEDRO D10,D10,11.16.100,POLLEDRO,1,NUOVO,POLLEDRI,
,POLLEDRI,POLLEDRO D14,D14,60.01.140,POLLEDRO,3,NUOVO,POLLEDRI,
,POLLEDRI,POLLEDRO D16,D16,60.01.160,POLLEDRO,2,NUOVO,POLLEDRI,
,GRANLUND,OF 12.5,D12.5,,POLLEDRO,1,NUOVO,POLLEDRI,
,POLLEDRI,POLLEDRO D15,D15,11.11.150,POLLEDRO,1,NUOVO,POLLEDRI,
,POLLEDRI,POLLEDRO D19,D19,11.11.190,POLLEDRO,1,NUOVO,POLLEDRI,
,POLLEDRI,POLLEDRO D4,D4,10.16.040,POLLEDRO,1,NUOVO,POLLEDRI,
,POLLEDRI,POLLEDRO D6,D6,10.16.060,POLLEDRO,1,NUOVO,POLLEDRI,
,POLLEDRI,POLLEDRO D15 90°,D15,10.12.150,POLLEDRO,1,NUOVO,POLLEDRI,
BRCL01416C,FIMU,GUHRING FRESA METALLO DURO D6,D6,2910-6.004 DIN371,FRESA,2,USATO,FRESA METALLI1,
,HOFFMAN,GARANT FRESA CARBONIO D12/05,D12,209760 12/05,FRESA,5,USATO,FRESA METALLI2,
BRCL00187C,RAFF,KARNASCH FRESA DIAMANTATA D4,D4 L2=16,291763.0400.16,FRESA,3,NUOVO,DIAMANTATE 1,
,RAFF,OSG PUNTA METALLO DURO D3.2 8D,D3.2,8684320,PUNTA,1,NUOVO,PUNTE1,
,RAFF,OSG PUNTA METALLO DURO D4.3  8D,D4.3,8684430,PUNTA,1,NUOVO,PUNTE1,
,CERATIZIT,INSERTI FRESA SFERICA D25,D25,5614736800,INSERTI,4,USATO,INSERTI FRESA,
,FIMU,GUHRING PUNTA METALLO DURO D2.05,D2.05,6488-2.050,PUNTA,1,NUOVO,PUNTE1,
,FIMU,GUHRING PUNTA METALLO DURO D1.8,D1.8,6400-1.800,PUNTA,1,NUOVO,PUNTE1,
,FIMU,KENNAMETAL PUNTA D1.5,D1.5,B051A01500CPG,PUNTA,1,NUOVO,PUNTE1,
,RAFF,OSG PUNTA METALLO DURO D1.6 X12,D1.6,8577160,PUNTA,1,NUOVO,PUNTE1,
,FIMU,GUHRING PUNTA METALLO DURO D3.25  X8,D3.25,5768-3.25,PUNTA,2,NUOVO,PUNTE2,
BRCL01071C,FIMU,GUHRING ALESATORE D2 H7,D2,1429-2.000,ALESATORE,1,NUOVO,ALESATORI,
