,,,,,,,,,
PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,Stato,Ubicazione,Prelievo
,BURZONI,FRESA DIAMANTATA 7.7,D7.7,RUN077 WE KH68,FRESA,2,NUOVO,DIAMANTATE 2,
,BURZONI,FRESA DIAMANTATA 8,D8,RUN80 WE KH68,FRESA,2,NUOVO,DIAMANTATE 2,
,BURZONI,FRESA DIAMANTATA 9,D9,RUN 097 KH68,FRESA,1,NUOVO,DIAMANTATE 2,
,BURZONI,FRESA DIAMANTATA 10,D10,RUN 100 WE KH68,FRESA,1,NUOVO,DIAMANTATE 2,
,BURZONI,FRESA DIAMANTATA 12,D12,RUN 120 MDI,FRESA,1,NUOVO,DIAMANTATE 2,
,BURZONI,PUNTA D2.1 TD850 D2.1 KP60,D2.1,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D1.5  TD850GF 0210 KR60,D1.5,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D3.3 TD850GP 0330 KR60,D3.3,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D3.3  TD850GP 0330 KR60,D3.3,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D3.2 TD 850 GP 0320 MDI,D3.2,,PUNTA,0,USATO,PUNTE1,
,BURZONI,PUNTA D3.5TD 850 GP 0320 MDI,D3.5,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D4.1 TD850GP 0410 KR60,D4.1,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D4 TD 850GP 0400 MDI,D4,,PUNTA,1,USATO,PUNTE1,
,BURZONI,PUNTA D4.2 TD 850 GP 0420 MDI,D4.2,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D4.5 TD 850 GP 0450 MDI,D4.8,,PUNTA,2,NUOVO,PUNTE1,
,BURZONI,PUNTA D4.3 TD850 GP 0430 MDI,D4.3,,PUNTA,2,NUOVO,PUNTE1,
,BURZONI,PUNTA D4.8 TD850GP 0480 KR60,D4.8,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D4.4 TD850GP 0440 KR60,D4.4,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D5  L.TOT.80 MDI,D5,,PUNTA,4,NUOVO,PUNTE1,
,BURZONI,PUNTA D5.1 TD850GP 0510 KR60,D5.1,,PUNTA,4,NUOVO,PUNTE1,
,BURZONI,PUNTA D5.2 TD 850GP 520 MDI,D5.2,,PUNTA,3,USATO,PUNTE1,
,BURZONI,PUNTA D6 DTD 830 GP 0600,D6,,PUNTA,5,NUOVO,PUNTE1,
,BURZONI,PUNTA D5.8 TD 530GP 0580 KR60,D5.8,,PUNTA,8,NUOVO,PUNTE1,
,BURZONI,PUNTA D6.3 TD850GP 0630 KR60,D6.3,,PUNTA,3,NUOVO,PUNTE1,
,BURZONI,PUNTA D6.1 TD850GP 0610 KR60,D6.1,,PUNTA,4,NUOVO,PUNTE1,
,BURZONI,PUNTA D6.5 TD850 GP 0650 MDI,D6.5,,PUNTA,4,NUOVO,PUNTE1,
,BURZONI,PUNTA D6.4 TD850 0640 MDI,D6.4,,PUNTA,2,NUOVO,PUNTE1,
,BURZONI,PUNTA D5.8 TD 850 GP 0580 MDI,D5.8,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,TUNGLOY PUNTA D6.8 TD8120 0680 MD,D6.8,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D6.8 TD850 0680 MDI,D6.8,,PUNTA,2,NUOVO,PUNTE1,
,BURZONI,PUNTA D7 TD830 0700MDI,D7,,PUNTA,3,NUOVO,PUNTE1,
,BURZONI,PUNTA D7 TD850GP 0700KR60,D7,,PUNTA,1,NUOVO,PUNTE1,
,BURZONI,PUNTA D6.6 TD 850 0660MDI,D6.6,,PUNTA,3,NUOVO,PUNTE1,
,BURZONI ,PUNTA D8.5 T55 D8 KP60,D8.5,,PUNTA,2,NUOVO,PUNTE1 ,
,BURZONI ,PETTINE D6 FM100 M6 MDE,D6,,FRESA,1,NUOVO,PETTINI,
,CARMEX,PETTINE MT1010 C27 2.0 ,D10,,FRESA,1,NUOVO  ,PETTINI,
,CARMEX,PETTINE D14 MT1414 D33 2.5 ,D14,,FRESA,1,NUOVO,PETTINI,
,CERATIZIT,WNT MASCHIO EG SL25 HR M6 ISO 2-6H,M6,2246906000,MASCHIO,1,NUOVO,MASCHI EG,
,CERATIZIT,WNT PUNTA D12 HSS LUNGA,D12 ,10235120,PUNTA,1,USATO,PUNTE1 ,
,CERATIZIT,WNT MASCHIO AMERICANO 10/32 2B C,10/32,22606010,MASCHIO,1,NUOVO,MASCHI A,
,CERATIZIT,INSERTO DXHT 11T308FR-27P,,50477508,INSERTI,6,NUOVO,INSERTI FRESA,
BRCL00217C,CERATIZIT,INSERTO FRESA XDHT 11T308FR-27PH216T ,,50477508,INSERTI,16,NUOVO,INSERTI FRESA,
,CERATIZIT,PETTINE  HA 8.4 X 1.5,D8,,FRESA,4,NUOVO,PETTINI,
,CERATIZIT,PETTINE D HA10.37 T1600,D10,,FRESA,3,NUOVO,PETTINI,
,CERATIZIT,WNT PETTINE M8 X 1.25 HB6,D8,,FRESA,1,USATO,PETTINI,
BRCL4008727,CERATIZIT,FRESA METALLO DURO D5  R1,D5,5371105410,FRESA,1,NUOVO,FRESA METALLI1,
,CERATIZIT,"FRESA METALLO DURO D5  K0,1",D5,5405905200,FRESA,4,NUOVO,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D6,D6 ,53523060,FRESA,1,USATO,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO HSA 5X0.35,D5,54002050,FRESA,1,NUOVO,FRESA METALLI1,
,CERATIZIT,FRESA METALLO DURO D6,D6,5407006200,FRESA,0,NUOVO,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D7 53 513 07400 ,D7,93568858,FRESA,0,NUOVO,FRESA METALLI1,
BRCL00995C,CERATIZIT,FRESA METALLO DURO D10 R1,D10,52 870 10010,FRESA,3,NUOVO,FRESA METALLI1,
BRCL000400000033,CERATIZIT,WNT FRESA METALLO DURO D9.65,D9.65 ,,FRESA,2,NUOVO,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D10,D10,53523100,FRESA,1,USATO ,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D12,D12,53523120,FRESA,2,USATO ,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D12,D12,1133 1200,FRESA,1,USATO ,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D12X0.30,D12,53585120,FRESA,1,NUOVO,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D12 FX FA,D12,5261412,FRESA,1,USATO,FRESA METALLI1,
BRCL0000400000500,CERATIZIT,FRESA METALLO DURO D12 R0.5,D12,5407212205,FRESA,2,NUOVO,FRESA METALLI1,
BRCL00029C,CERATIZIT,FRESA METALLO DURO D12 R1,D12,5358612010,FRESA,2,NUOVO,FRESA METALLI1,
BRCL000400000105,CERATIZIT,FRESA METALLO DURO D12,D12,5407012400,FRESA,3,NUOVO,FRESA METALLI1,
BRCL000400000066,CERATIZIT,WNT FRESA METALLO DURO D20,D20,94199384,FRESA,1,USATO,FRESA METALLI1,
BRCL00214C,CERATIZIT,WNT FRESA METALLO DURO D20,D20,94818038,FRESA,1,NUOVO,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D20,D20,5405920200 D20,FRESA,1,NUOVO,FRESA METALLI1,
,CERATIZIT,FRESA METALLO DURO D3,D3,5407003200,FRESA,2,NUOVO,FRESA METALLI1,
,CERATIZIT,FRESA METALLO DURO D3 40°,D3,52784034,FRESA,2,NUOVO,FRESA METALLI1,
,CERATIZIT,WNT FREA METALLO DURO D1 30°,D1,52802103,FRESA,1,NUOVO,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D3 30°,D3,5292133000,FRESA,1,NUOVO,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D2.5 6.45°,D2.5,5066402500,FRESA,1,NUOVO,FRESA METALLI1,
,CERATIZIT,WNT FRESA METALLO DURO D3,D3,5407003200,FRESA,1,NUOVO,FRESA METALLI1,
,CERATIZIT,FRESA SFERICA METALLO DURO D7.45  R4,D7.45,,FRESA,1,NUOVO,FRESA METALLI2,
,CERATIZIT,WNT FRESA SFERICA METALLO DURO D5.5  45°,D5.5,5361006200,FRESA,1,NUOVO,FRESA METALLI2,
,CERATIZIT,WNT FRESA DIAMANTATA D10  30°,D10,50985 100,FRESA,2,NUOVO,DIAMANTATE 1,
,CERATIZIT,WNT FRESA DIAMANTATA D4  X 0.35,D4,5405904200,FRESA,3,NUOVO,DIAMANTATE 2,
,CERATIZIT,WNT FRESA DIAMANTATA D8X 0.35,D8,5405908200,FRESA,1,NUOVO,DIAMANTATE 2,
,CERATIZIT,PUNTA D 3XD,D3,10787030,PUNTA,3,NUOVO,PUNTE1,
,CERATIZIT,PUNTA D3XD,D3,1170403000,PUNTA,2,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D 3,D3,1170303000,PUNTA,0,NUOVO,PUNTE1,
BRCL000400000344,CERATIZIT,WNT PUNTA D3.3 R5,D3.3,11 703 03300,PUNTA,3,NUOVO,PUNTE1,
BRCL000400000407,CERATIZIT,WNT PUNTA D3.2,D3.2,10 787 032,PUNTA,0,NUOVO,PUNTE1,
,CERATIZIT,PUNTA D3.8,D3.8,1170403000,PUNTA,2,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D3.3 R5,D3.3,11702 03300,PUNTA,1,NUOVO,PUNTE1,
,CERATIZIT,PUNTA D4.5,D4.5 ,1170204000,PUNTA,1,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D4.5,D4.5,11 703 04000,PUNTA,0,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D4.3,D4.3,1170304300,PUNTA,4,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D4.5,D4.5,10 700 045,PUNTA,3,NUOVO,PUNTE1,
BRCL000400000047,CERATIZIT,WNT PUNTA D4.5,D4.5,,PUNTA,2,NUOVO,PUNTE1,
BRCL000400000347,CERATIZIT,PUNTA D5,D5,,PUNTA,7,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D5,D5,,PUNTA,1,USATO,PUNTE1,
BRCL01242C,CERATIZIT,PUNTA D5,D5,,PUNTA,0,NUOVO,PUNTE1,
,CERATIZIT,PUNTA D5.2,D5.2,11 703 05200,PUNTA,2,NUOVO,PUNTE1,
,CERATIZIT,PUNTA D5.5,D5.5 ,11 702 05000,PUNTA,4,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D5.8,D5.8,10 700 058,PUNTA,3,NUOVO,PUNTE1,
BRCL000400000177,CERATIZIT,WNT PUNTA D6,D6,,PUNTA,1,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D5.5,D5.5,,PUNTA,2,NUOVO,PUNTE1,
,CERATIZIT,PUNTA D6.4,D6.4,11 702 06400,PUNTA,3,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D6.20,D6.2,11 702 06200,PUNTA,3,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D5, D5,10 787 050,PUNTA,2,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D6,D6,11 703 06000,PUNTA,1,NUOVO,PUNTE1,
,CERATIZIT,WNT PUNTA D6.3,D6.3,11 704 06300,PUNTA,0,NUOVO,PUNTE1,
,CERATIZIT,PUNTA D6.3,D6.3,,PUNTA,1,NUOVO,PUNTE1,
BRCL00197C,CERATIZIT,PUNTA D6.8,D6.8,11 703 06800,PUNTA,2,NUOVO,PUNTE1,
,CERIN,FRESA DIAMANTATA D3 108GF,D3,30061250,FRESA,2,NUOVO,DIAMANTATE 1,
,CERIN,FRESA DIAMANTATA D2,D2,,FRESA,1,NUOVO,DIAMANTATE 1,
,CERIN,FRESA DIAMANTATA D4,D4,68SX040061680DM,FRESA,2,NUOVO,DIAMANTATE 1,
,CERIN,FRESA DIAMANTATA D3,D3,,FRESA,1,NUOVO,DIAMANTATE 1,
,CERIN,FRESA DIAMANTATA D8,D8,,FRESA,1,NUOVO,DIAMANTATE 1,
,CERIN,FRESA DIAMANTATA D10,D10,109F.100103072,FRESA,1,NUOVO,DIAMANTATE 1,
,CERIN,FRESA DIAMANTATA D8,D8,108F.0800840100,FRESA,1,USATO,DIAMANTATE 1,
,CERIN,FRESA DIAMANTATA D8,D8,109F.080082563,FRESA,2,NUOVO,DIAMANTATE 1,
,CERIN,FRESA DIAMANTATA SPECIALE D5,D5,11050061660,FRESA,2,NUOVO,DIAMANTATE 1,
,CERIN,FRESA DIAMANTATA SPECIALE D3,D3,1084030061250,FRESA,2,NUOVO,DIAMANTATE 1,
,CERIN,FRESA DIAMANTATA SPECIALE D3.3,D3.3,H7NA42008,FRESA,1,NUOVO,DIAMANTATE 1,
,DC,MASCHIO AMERICANO 1/4  28 3B,1/4, ,MASCHIO,1,NUOVO,MASCHI A,
,DC,MASCHIO AMERICANO 5/16  UNF 2BX,5/16,,MASCHIO,1,NUOVO,MASCHI A,
BRCL000400000258,DIAEDGE,INSERTO TPGX TPGX090204,,,INSERTI,17,NUOVO,INSERTI FRESA,
,DORMER,MASCHIO AMERICANO 1/4  20 UNC,1/4,,MASCHIO,1,NUOVO,MASCHI A,
