Descrizione Originale,Tipologia,Forma,Diametro,Diametro Nominale,Raggio,Passo,Tolleranza,Lunghezza,Angolo,Rotazione,Materiale,Rivestimento,Stato,Ubicazione,Codice,Serial Number,Fornitore,Quantità,Lavorazione,Sistema di misura,Alias,Check
FRESA METALLO DURO D2 GS020L KD60,Fresa,Candela,D2,2.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO D2 GS020L KD60,GS020L
FRESA METALLO DURO TMB2100400L250KB60,Fresa,Candela,D4,4.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO TMB2100400L250KB60,TMB2100400L250KB60
FRESA METALLO DURO D3 GS030L KD60,Fresa,Candela,D3,3.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO D3 GS030L KD60,GS030L
FRESA METALLO DURO TMB210 0400L160 KB60,Fresa,Candela,D3.8,3.8,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO TMB210 0400L160 KB60,0400L160 TMB210
FRESA SFERICA METALLO DURO 53060VT3-KP60,Fresa,Sferica,D6,6.0,3.0,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,,BURZONI,2,Fresatura,Metrico,FRESA SFERICA METALLO DURO 53060VT3-KP60,53060VT3
FRESA SFERICA METALLO DURO D4 GS040L KD60,Fresa,Sferica,D4,4.0,2.0,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,,BURZONI,2,Fresatura,Metrico,FRESA SFERICA METALLO DURO D4 GS040L KD60,GS040L
FRESA SFERICA METALLO DURO SGR 040 L45 KH60,Fresa,Sferica,D3.85,3.85,1.925,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,,BURZONI,1,Fresatura,Metrico,FRESA SFERICA METALLO DURO SGR 040 L45 KH60,SGR
FRESA SFERICA METALLO DURO SGC 040 200XL 75B KH60,Fresa,Sferica,D4,4.0,2.0,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,,BURZONI,3,Fresatura,Metrico,FRESA SFERICA METALLO DURO SGC 040 200XL 75B KH60,75B SGC 200XL
FRESA DIAMANTATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,D8X40L100,BURZONI,1,Fresatura,Metrico,FRESA DIAMANTATA D8,DIAMANTATA
FRESA DIAMANTATA D6  40°,Fresa,Candela,D6,6.0,,,,,40°,Dx,,Diamante,USATO,DIAMANTATE 1,,2985,BURZONI,1,Fresatura,Metrico,FRESA DIAMANTATA D6  40°,DIAMANTATA
FRESA DIAMANTATA SPECIALE D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,D8LTOT.63 G8 L.25MM,BURZONI,1,Fresatura,Metrico,FRESA DIAMANTATA SPECIALE D8,DIAMANTATA SPECIALE
FRESA DIAMANTATA 7.7,Fresa,Candela,D7.7,7.7,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 2,,RUN077 WE KH68,BURZONI,2,Fresatura,Metrico,FRESA DIAMANTATA 7.7,DIAMANTATA
FRESA DIAMANTATA 8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 2,,RUN80 WE KH68,BURZONI,2,Fresatura,Metrico,FRESA DIAMANTATA 8,DIAMANTATA
FRESA DIAMANTATA 9,Fresa,Candela,D9,9.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 2,,RUN 097 KH68,BURZONI,1,Fresatura,Metrico,FRESA DIAMANTATA 9,DIAMANTATA
FRESA DIAMANTATA 10,Fresa,Candela,D10,10.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 2,,RUN 100 WE KH68,BURZONI,1,Fresatura,Metrico,FRESA DIAMANTATA 10,DIAMANTATA
FRESA DIAMANTATA 12,Fresa,Candela,D12,12.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 2,,RUN 120 MDI,BURZONI,1,Fresatura,Metrico,FRESA DIAMANTATA 12,DIAMANTATA
PUNTA D2.1 TD850 D2.1 KP60,Punta,,D2.1,2.1,,,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D2.1 TD850 D2.1 KP60,
PUNTA D1.5  TD850GF 0210 KR60,Punta,,D1.5,1.5,,,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D1.5  TD850GF 0210 KR60,TD850GF
PUNTA D3.3 TD850GP 0330 KR60,Punta,,D3.3,3.3,,330.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D3.3 TD850GP 0330 KR60,TD850GP
PUNTA D3.3  TD850GP 0330 KR60,Punta,,D3.3,3.3,,330.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D3.3  TD850GP 0330 KR60,TD850GP
PUNTA D3.2 TD 850 GP 0320 MDI,Punta,,D3.2,3.2,,320.0,,,,Dx,METALLO DURO,,USATO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D3.2 TD 850 GP 0320 MDI,MDI GP TD
PUNTA D3.5TD 850 GP 0320 MDI,Punta,,D3,3.0,,320.0,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D3.5TD 850 GP 0320 MDI,MDI GP 5TD
PUNTA D4.1 TD850GP 0410 KR60,Punta,,D4.1,4.1,,410.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D4.1 TD850GP 0410 KR60,TD850GP
PUNTA D4 TD 850GP 0400 MDI,Punta,,D4,4.0,,400.0,,,,Dx,METALLO DURO,,USATO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D4 TD 850GP 0400 MDI,MDI TD 850GP
PUNTA D4.2 TD 850 GP 0420 MDI,Punta,,D4.2,4.2,,420.0,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,2,Foratura,Metrico,PUNTA D4.2 TD 850 GP 0420 MDI,MDI GP TD
PUNTA D4.3 TD850 GP 0430 MDI,Punta,,D4.3,4.3,,430.0,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,2,Foratura,Metrico,PUNTA D4.3 TD850 GP 0430 MDI,MDI GP
PUNTA D4.8 TD850GP 0480 KR60,Punta,,D4.8,4.8,,480.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D4.8 TD850GP 0480 KR60,TD850GP
PUNTA D4.4 TD850GP 0440 KR60,Punta,,D4.4,4.4,,440.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D4.4 TD850GP 0440 KR60,TD850GP
PUNTA D5  L.TOT.80 MDI,Punta,,D5,5.0,,,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,4,Foratura,Metrico,PUNTA D5  L.TOT.80 MDI,MDI TOT L
PUNTA D5.1 TD850GP 0510 KR60,Punta,,D5.1,5.1,,510.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,4,Foratura,Metrico,PUNTA D5.1 TD850GP 0510 KR60,TD850GP
PUNTA D5.2 TD 850GP 520 MDI,Punta,,D5.2,5.2,,520.0,,,,Dx,METALLO DURO,,USATO,PUNTE1,,,BURZONI,3,Foratura,Metrico,PUNTA D5.2 TD 850GP 520 MDI,MDI 850GP TD
PUNTA D6 DTD 830 GP 0600,Punta,,D6,6.0,,600.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,5,Foratura,Metrico,PUNTA D6 DTD 830 GP 0600,DTD GP
PUNTA D5.8 TD 530GP 0580 KR60,Punta,,D5.8,5.8,,580.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,8,Foratura,Metrico,PUNTA D5.8 TD 530GP 0580 KR60,TD 530GP
PUNTA D6.3 TD850GP 0630 KR60,Punta,,D6.3,6.3,,630.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,3,Foratura,Metrico,PUNTA D6.3 TD850GP 0630 KR60,TD850GP
PUNTA D6.1 TD850GP 0610 KR60,Punta,,D6.1,6.1,,610.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,4,Foratura,Metrico,PUNTA D6.1 TD850GP 0610 KR60,TD850GP
PUNTA D6.5 TD850 GP 0650 MDI,Punta,,D6.5,6.5,,650.0,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,5,Foratura,Metrico,PUNTA D6.5 TD850 GP 0650 MDI,MDI GP
PUNTA D6.4 TD850 0640 MDI,Punta,,D6.4,6.4,,,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,2,Foratura,Metrico,PUNTA D6.4 TD850 0640 MDI,MDI
PUNTA D5.8 TD 850 GP 0580 MDI,Punta,,D5.8,5.8,,580.0,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D5.8 TD 850 GP 0580 MDI,MDI GP TD
TUNGLOY PUNTA D6.8 TD8120 0680 MD,Punta,,D6.8,6.8,,,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,TUNGLOY PUNTA D6.8 TD8120 0680 MD,MD TUNGLOY
PUNTA D6.8 TD850 0680 MDI,Punta,,D6.8,6.8,,,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,2,Foratura,Metrico,PUNTA D6.8 TD850 0680 MDI,MDI
PUNTA D7 TD830 0700MDI,Punta,,D7,7.0,,,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,3,Foratura,Metrico,PUNTA D7 TD830 0700MDI,0700MDI
PUNTA D7 TD850GP 0700KR60,Punta,,D7,7.0,,700.0,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA D7 TD850GP 0700KR60,0700KR60 TD850GP
PUNTA D6.6 TD 850 0660MDI,Punta,,D6.6,6.6,,,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,3,Foratura,Metrico,PUNTA D6.6 TD 850 0660MDI,TD 0660MDI
PUNTA D8.5 T55 D8 KP60,Punta,,D8.5,8.5,,,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,2,Foratura,Metrico,PUNTA D8.5 T55 D8 KP60,
PETTINE D6 FM100 M6 MDE,Fresa,Pettine,D6,6.0,,,,,,Dx,,,NUOVO,PETTINI,,,BURZONI,1,Fresatura,Metrico,PETTINE D6 FM100 M6 MDE,MDE
PETTINE MT1010 C27 2.0,Fresa,Pettine,D10,10.0,,,,,,Dx,,,NUOVO,PETTINI,,,CARMEX,1,Fresatura,Metrico,PETTINE MT1010 C27 2.0,
PETTINE D14 MT1414 D33 2.5,Fresa,Pettine,D14,14.0,,,,,,Dx,,,NUOVO,PETTINI,,,CARMEX,1,Fresatura,Metrico,PETTINE D14 MT1414 D33 2.5,
WNT MASCHIO EG SL25 HR M6 ISO 2-6H,Maschio,,M6,6.0,,,6H,,,Dx,,,NUOVO,MASCHI EG,,2246906000,CERATIZIT,1,Filettatura,EG,WNT MASCHIO EG SL25 HR M6 ISO 2-6H,ISO WNT EG HR
WNT PUNTA D12 HSS LUNGA,Punta,,D12,12.0,,,,,,Dx,HSS,,USATO,PUNTE1,,10235120,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D12 HSS LUNGA,LUNGA WNT
WNT MASCHIO AMERICANO 10/32 2B C,Maschio,,10/32,7.9375,,,,,,Dx,,,NUOVO,MASCHI A,,22606010,CERATIZIT,1,Filettatura,Americano,WNT MASCHIO AMERICANO 10/32 2B C,AMERICANO C 2B WNT
PETTINE  HA 8.4 X 1.5,Fresa,Pettine,D8,8.0,,1.5,,,,Dx,,,NUOVO,PETTINI,,,CERATIZIT,4,Fresatura,Metrico,PETTINE  HA 8.4 X 1.5,X HA
PETTINE D HA10.37 T1600,Fresa,Pettine,D10,10.0,,,,,,Dx,,,NUOVO,PETTINI,,,CERATIZIT,3,Fresatura,Metrico,PETTINE D HA10.37 T1600,D
WNT PETTINE M8 X 1.25 HB6,Fresa,Pettine,M8,8.0,,1.25,,,,Dx,,,USATO,PETTINI,,,CERATIZIT,1,Fresatura,Metrico,WNT PETTINE M8 X 1.25 HB6,X WNT
FRESA METALLO DURO D5  R1,Fresa,Torica,D5,5.0,1.0,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL4008727,5371105410,CERATIZIT,1,Fresatura,Metrico,FRESA METALLO DURO D5  R1,
"FRESA METALLO DURO D5  K0,1",Fresa,Candela,D5,5.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,5405905200,CERATIZIT,4,Fresatura,Metrico,"FRESA METALLO DURO D5  K0,1",
WNT FRESA METALLO DURO D6,Fresa,Candela,D6,6.0,,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI1,,53523060,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D6,WNT
WNT FRESA METALLO DURO HSA 5X0.35,Fresa,Candela,D5,5.0,,0.35,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,54002050,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO HSA 5X0.35,WNT HSA 5X0
FRESA METALLO DURO D6,Fresa,Candela,D6,6.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,5407006200,CERATIZIT,0,Fresatura,Metrico,FRESA METALLO DURO D6,
WNT FRESA METALLO DURO D7 53 513 07400,Fresa,Candela,D7,7.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,93568858,CERATIZIT,0,Fresatura,Metrico,WNT FRESA METALLO DURO D7 53 513 07400,WNT
FRESA METALLO DURO D10 R1,Fresa,Torica,D10,10.0,1.0,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL00995C,52 870 10010,CERATIZIT,3,Fresatura,Metrico,FRESA METALLO DURO D10 R1,
WNT FRESA METALLO DURO D9.65,Fresa,Candela,D9.65,9.65,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL000400000033,,CERATIZIT,2,Fresatura,Metrico,WNT FRESA METALLO DURO D9.65,WNT
WNT FRESA METALLO DURO D10,Fresa,Candela,D10,10.0,,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI1,,53523100,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D10,WNT
WNT FRESA METALLO DURO D12,Fresa,Candela,D12,12.0,,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI1,,53523120,CERATIZIT,2,Fresatura,Metrico,WNT FRESA METALLO DURO D12,WNT
WNT FRESA METALLO DURO D12,Fresa,Candela,D12,12.0,,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI1,,1133 1200,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D12,WNT
WNT FRESA METALLO DURO D12X0.30,Fresa,Candela,D12,12.0,,0.3,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,53585120,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D12X0.30,D12X0 WNT
WNT FRESA METALLO DURO D12 FX FA,Fresa,Candela,D12,12.0,,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI1,,5261412,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D12 FX FA,FA FX WNT
FRESA METALLO DURO D12 R0.5,Fresa,Torica,D12,12.0,0.5,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL0000400000500,5407212205,CERATIZIT,2,Fresatura,Metrico,FRESA METALLO DURO D12 R0.5,
FRESA METALLO DURO D12 R1,Fresa,Torica,D12,12.0,1.0,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL00029C,5358612010,CERATIZIT,2,Fresatura,Metrico,FRESA METALLO DURO D12 R1,
FRESA METALLO DURO D12,Fresa,Candela,D12,12.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL000400000105,5407012400,CERATIZIT,3,Fresatura,Metrico,FRESA METALLO DURO D12,
WNT FRESA METALLO DURO D20,Fresa,Candela,D20,20.0,,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI1,BRCL000400000066,94199384,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D20,WNT
WNT FRESA METALLO DURO D20,Fresa,Candela,D20,20.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL00214C,94818038,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D20,WNT
WNT FRESA METALLO DURO D20,Fresa,Candela,D20,20.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,5405920200 D20,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D20,WNT
FRESA METALLO DURO D3,Fresa,Candela,D3,3.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,5407003200,CERATIZIT,2,Fresatura,Metrico,FRESA METALLO DURO D3,
FRESA METALLO DURO D3 40°,Fresa,Candela,D3,3.0,,,,,40°,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,52784034,CERATIZIT,2,Fresatura,Metrico,FRESA METALLO DURO D3 40°,
WNT FRESA METALLO DURO D3 30°,Fresa,Candela,D3,3.0,,,,,30°,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,5292133000,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D3 30°,WNT
WNT FRESA METALLO DURO D2.5 6.45°,Fresa,Candela,D2.5,2.5,,,,,6.45°,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,5066402500,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D2.5 6.45°,WNT
WNT FRESA METALLO DURO D3,Fresa,Candela,D3,3.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,5407003200,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D3,WNT
FRESA SFERICA METALLO DURO D7.45  R4,Fresa,Torica,D7.45,7.45,4.0,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,,CERATIZIT,1,Fresatura,Metrico,FRESA SFERICA METALLO DURO D7.45  R4,SFERICA
WNT FRESA SFERICA METALLO DURO D5.5  45°,Fresa,Sferica,D5.5,5.5,2.75,,,,45°,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,5361006200,CERATIZIT,1,Fresatura,Metrico,WNT FRESA SFERICA METALLO DURO D5.5  45°,WNT
WNT FRESA DIAMANTATA D10  30°,Fresa,Candela,D10,10.0,,,,,30°,Dx,,Diamante,NUOVO,DIAMANTATE 1,,50985 100,CERATIZIT,2,Fresatura,Metrico,WNT FRESA DIAMANTATA D10  30°,DIAMANTATA WNT
WNT FRESA DIAMANTATA D4  X 0.35,Fresa,Candela,D4,4.0,,0.35,,,,Dx,,Diamante,NUOVO,DIAMANTATE 2,,5405904200,CERATIZIT,3,Fresatura,Metrico,WNT FRESA DIAMANTATA D4  X 0.35,X DIAMANTATA WNT
WNT FRESA DIAMANTATA D8X 0.35,Fresa,Candela,D8,8.0,,0.35,,,,Dx,,Diamante,NUOVO,DIAMANTATE 2,,5405908200,CERATIZIT,1,Fresatura,Metrico,WNT FRESA DIAMANTATA D8X 0.35,DIAMANTATA D8X WNT
PUNTA D 3XD,Punta,,D3,3.0,,,,,,Dx,,,NUOVO,PUNTE1,,10787030,CERATIZIT,3,Foratura,Metrico,PUNTA D 3XD,D 3XD
PUNTA D3XD,Punta,,D3,3.0,,,,,,Dx,,,NUOVO,PUNTE1,,1170403000,CERATIZIT,2,Foratura,Metrico,PUNTA D3XD,D3XD
WNT PUNTA D 3,Punta,,D3,3.0,,,,,,Dx,,,NUOVO,PUNTE1,,1170303000,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D 3,D WNT
WNT PUNTA D3.3 R5,Punta,,D3.3,3.3,5.0,,,,,Dx,,,NUOVO,PUNTE1,BRCL000400000344,11 703 03300,CERATIZIT,4,Foratura,Metrico,WNT PUNTA D3.3 R5,WNT
WNT PUNTA D3.2,Punta,,D3.2,3.2,,,,,,Dx,,,NUOVO,PUNTE1,BRCL000400000407,10 787 032,CERATIZIT,2,Foratura,Metrico,WNT PUNTA D3.2,WNT
PUNTA D3.8,Punta,,D3.8,3.8,,,,,,Dx,,,NUOVO,PUNTE1,,1170403000,CERATIZIT,2,Foratura,Metrico,PUNTA D3.8,
WNT PUNTA D3.3 R5,Punta,,D3.3,3.3,5.0,,,,,Dx,,,NUOVO,PUNTE1,,11702 03300,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D3.3 R5,WNT
PUNTA D4.5,Punta,,D4.5,4.5,,,,,,Dx,,,NUOVO,PUNTE1,,1170204000,CERATIZIT,2,Foratura,Metrico,PUNTA D4.5,
WNT PUNTA D4.5,Punta,,D4.5,4.5,,,,,,Dx,,,NUOVO,PUNTE1,,11 703 04000,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D4.5,WNT
WNT PUNTA D4.3,Punta,,D4.3,4.3,,,,,,Dx,,,NUOVO,PUNTE1,,1170304300,CERATIZIT,5,Foratura,Metrico,WNT PUNTA D4.3,WNT
WNT PUNTA D4.5,Punta,,D4.5,4.5,,,,,,Dx,,,NUOVO,PUNTE1,,10 700 045,CERATIZIT,3,Foratura,Metrico,WNT PUNTA D4.5,WNT
WNT PUNTA D4.5,Punta,,D4.5,4.5,,,,,,Dx,,,NUOVO,PUNTE1,BRCL000400000047,,CERATIZIT,2,Foratura,Metrico,WNT PUNTA D4.5,WNT
PUNTA D5,Punta,,D5,5.0,,,,,,Dx,,,NUOVO,PUNTE1,BRCL000400000347,,CERATIZIT,7,Foratura,Metrico,PUNTA D5,
WNT PUNTA D5,Punta,,D5,5.0,,,,,,Dx,,,USATO,PUNTE1,,,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D5,WNT
PUNTA D5,Punta,,D5,5.0,,,,,,Dx,,,NUOVO,PUNTE1,BRCL01242C,,CERATIZIT,1,Foratura,Metrico,PUNTA D5,
PUNTA D5.2,Punta,,D5.2,5.2,,,,,,Dx,,,NUOVO,PUNTE1,,11 703 05200,CERATIZIT,2,Foratura,Metrico,PUNTA D5.2,
WNT PUNTA D5,Punta,,D5,5.0,,,,,,Dx,,,NUOVO,PUNTE1,,11 702 05000,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D5,WNT
PUNTA D5.5,Punta,,D5.5,5.5,,,,,,Dx,,,NUOVO,PUNTE1,,11 702 05000,CERATIZIT,4,Foratura,Metrico,PUNTA D5.5,
WNT PUNTA D5.8,Punta,,D5.8,5.8,,,,,,Dx,,,NUOVO,PUNTE1,,10 700 058,CERATIZIT,3,Foratura,Metrico,WNT PUNTA D5.8,WNT
WNT PUNTA D6,Punta,,D6,6.0,,,,,,Dx,,,NUOVO,PUNTE1,BRCL000400000177,,CERATIZIT,2,Foratura,Metrico,WNT PUNTA D6,WNT
WNT PUNTA D5.5,Punta,,D5.5,5.5,,,,,,Dx,,,NUOVO,PUNTE1,,,CERATIZIT,2,Foratura,Metrico,WNT PUNTA D5.5,WNT
PUNTA D6.4,Punta,,D6.4,6.4,,,,,,Dx,,,NUOVO,PUNTE1,,11 702 06400,CERATIZIT,3,Foratura,Metrico,PUNTA D6.4,
WNT PUNTA D6.20,Punta,,D6.20,6.2,,,,,,Dx,,,NUOVO,PUNTE1,,11 702 06200,CERATIZIT,3,Foratura,Metrico,WNT PUNTA D6.20,WNT
WNT PUNTA D5,Punta,,D5,5.0,,,,,,Dx,,,NUOVO,PUNTE1,,10 787 050,CERATIZIT,2,Foratura,Metrico,WNT PUNTA D5,WNT
WNT PUNTA D6,Punta,,D6,6.0,,,,,,Dx,,,NUOVO,PUNTE1,,11 703 06000,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D6,WNT
WNT PUNTA D6.3,Punta,,D6.3,6.3,,,,,,Dx,,,NUOVO,PUNTE1,,11 704 06300,CERATIZIT,0,Foratura,Metrico,WNT PUNTA D6.3,WNT
PUNTA D6.3,Punta,,D6.3,6.3,,,,,,Dx,,,NUOVO,PUNTE1,,,CERATIZIT,1,Foratura,Metrico,PUNTA D6.3,
PUNTA D6.8,Punta,,D6.8,6.8,,,,,,Dx,,,NUOVO,PUNTE1,,11 702 06800,CERATIZIT,5,Foratura,Metrico,PUNTA D6.8,
FRESA DIAMANTATA D3 108GF,Fresa,Candela,D3,3.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,30061250,CERIN,2,Fresatura,Metrico,FRESA DIAMANTATA D3 108GF,DIAMANTATA 108GF
FRESA DIAMANTATA D2,Fresa,Candela,D2,2.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,,CERIN,2,Fresatura,Metrico,FRESA DIAMANTATA D2,DIAMANTATA
FRESA DIAMANTATA D4,Fresa,Candela,D4,4.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,68SX040061680DM,CERIN,2,Fresatura,Metrico,FRESA DIAMANTATA D4,DIAMANTATA
FRESA DIAMANTATA D3,Fresa,Candela,D3,3.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,,CERIN,1,Fresatura,Metrico,FRESA DIAMANTATA D3,DIAMANTATA
FRESA DIAMANTATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,,CERIN,1,Fresatura,Metrico,FRESA DIAMANTATA D8,DIAMANTATA
FRESA DIAMANTATA D10,Fresa,Candela,D10,10.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,109F.100103072,CERIN,1,Fresatura,Metrico,FRESA DIAMANTATA D10,DIAMANTATA
FRESA DIAMANTATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,USATO,DIAMANTATE 1,,108F.0800840100,CERIN,1,Fresatura,Metrico,FRESA DIAMANTATA D8,DIAMANTATA
FRESA DIAMANTATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,109F.080082563,CERIN,2,Fresatura,Metrico,FRESA DIAMANTATA D8,DIAMANTATA
FRESA DIAMANTATA SPECIALE D5,Fresa,Candela,D5,5.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,11050061660,CERIN,2,Fresatura,Metrico,FRESA DIAMANTATA SPECIALE D5,DIAMANTATA SPECIALE
FRESA DIAMANTATA SPECIALE D3,Fresa,Candela,D3,3.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,1084030061250,CERIN,2,Fresatura,Metrico,FRESA DIAMANTATA SPECIALE D3,DIAMANTATA SPECIALE
FRESA DIAMANTATA SPECIALE D3.3,Fresa,Candela,D3.3,3.3,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,H7NA42008,CERIN,1,Fresatura,Metrico,FRESA DIAMANTATA SPECIALE D3.3,DIAMANTATA SPECIALE
MASCHIO AMERICANO 1/4  28 3B,Maschio,,1/4,6.35,,,,,,Dx,,,NUOVO,MASCHI A,,,DC,1,Filettatura,Americano,MASCHIO AMERICANO 1/4  28 3B,AMERICANO 3B
